"pars" "rmse" "lambdas_df" "gamma_df" "mtry_df" "dataset" "model" "good" "bad"
"194" 11 0.562263546405386 0.7 0.7495 225 1 "boosted_rf" 0.571428571428571 0.0666666666666667
"195" 7 0.536000540307152 0.7 0.999 225 1 "boosted_rf" 0.666666666666667 0.0666666666666667
"196" 173 0.511153111377357 0.9 0.001 225 1 "boosted_rf" 0.629411764705882 0.0444444444444444
"197" 72 0.51653607591407 0.9 0.2505 225 1 "boosted_rf" 0.63768115942029 0.0444444444444444
"198" 25 0.520693749614353 0.9 0.5 225 1 "boosted_rf" 0.590909090909091 0.0444444444444444
"199" 10 0.505015600669812 0.9 0.7495 225 1 "boosted_rf" 0.714285714285714 0.0444444444444444
"200" 6 0.548597756886459 0.9 0.999 225 1 "boosted_rf" 0.5 0.0666666666666667
"201" 3 0.556190981549728 0.1 0.001 250 1 "boosted_rf" 1 0.0222222222222222
"202" 3 0.570307994726622 0.1 0.2505 250 1 "boosted_rf" 1 0.0222222222222222
"203" 3 0.548677609882298 0.1 0.5 250 1 "boosted_rf" 1 0.0222222222222222
"204" 3 0.563718959925982 0.1 0.7495 250 1 "boosted_rf" 1 0.0222222222222222
"205" 4 0.545526892053794 0.1 0.999 250 1 "boosted_rf" 1 0.0222222222222222
"206" 12 0.523268245312138 0.3 0.001 250 1 "boosted_rf" 0.6 0.0222222222222222
"207" 8 0.502928747416617 0.3 0.2505 250 1 "boosted_rf" 0.833333333333333 0.0222222222222222
"208" 6 0.523876324885013 0.3 0.5 250 1 "boosted_rf" 0.5 0.0222222222222222
"209" 4 0.561559058917533 0.3 0.7495 250 1 "boosted_rf" 1 0.0222222222222222
"210" 3 0.552516717116336 0.3 0.999 250 1 "boosted_rf" 1 0.0222222222222222
"211" 23 0.517190677672601 0.5 0.001 250 1 "boosted_rf" 0.619047619047619 0.0222222222222222
"212" 14 0.509966146035817 0.5 0.2505 250 1 "boosted_rf" 0.583333333333333 0.0222222222222222
"213" 8 0.528836439341943 0.5 0.5 250 1 "boosted_rf" 0.833333333333333 0.0222222222222222
"214" 4 0.534359582603327 0.5 0.7495 250 1 "boosted_rf" 0.5 0.0222222222222222
"215" 3 0.551931919267548 0.5 0.999 250 1 "boosted_rf" 1 0.0222222222222222
"216" 61 0.504545612567667 0.7 0.001 250 1 "boosted_rf" 0.644067796610169 0.0222222222222222
"217" 30 0.513074186150279 0.7 0.2505 250 1 "boosted_rf" 0.678571428571429 0.0222222222222222
"218" 13 0.538002402679513 0.7 0.5 250 1 "boosted_rf" 0.636363636363636 0.0222222222222222
"219" 6 0.522328191249286 0.7 0.7495 250 1 "boosted_rf" 0.75 0.0222222222222222
"220" 3 0.551765089841064 0.7 0.999 250 1 "boosted_rf" 1 0.0222222222222222
"221" 168 0.510632256799089 0.9 0.001 250 1 "boosted_rf" 0.650602409638554 0.0222222222222222
"222" 58 0.50903782708039 0.9 0.2505 250 1 "boosted_rf" 0.660714285714286 0.0222222222222222
"223" 24 0.514688791942832 0.9 0.5 250 1 "boosted_rf" 0.545454545454545 0.0222222222222222
"224" 9 0.522924655982802 0.9 0.7495 250 1 "boosted_rf" 0.857142857142857 0.0222222222222222
"225" 3 0.554551193454818 0.9 0.999 250 1 "boosted_rf" 1 0.0222222222222222
"226" 105 0.460259205576309 0.1 0.001 15 2 "boosted_rf" 0.656716417910448 0.822222222222222
"227" 96 0.453155014104707 0.1 0.2505 15 2 "boosted_rf" 0.673076923076923 0.955555555555556
"228" 101 0.455602074118646 0.1 0.5 15 2 "boosted_rf" 0.684210526315789 0.955555555555556
"229" 105 0.450681841189269 0.1 0.7495 15 2 "boosted_rf" 0.639344262295082 0.955555555555556
"230" 100 0.453449891026066 0.1 0.999 15 2 "boosted_rf" 0.696428571428571 0.955555555555556
"231" 106 0.452108084930682 0.3 0.001 15 2 "boosted_rf" 0.676470588235294 0.822222222222222
"232" 101 0.449509578038532 0.3 0.2505 15 2 "boosted_rf" 0.603448275862069 0.933333333333333
"233" 101 0.452073915365787 0.3 0.5 15 2 "boosted_rf" 0.666666666666667 0.955555555555556
"234" 99 0.451403187731054 0.3 0.7495 15 2 "boosted_rf" 0.745454545454545 0.955555555555556
"235" 102 0.454592358986266 0.3 0.999 15 2 "boosted_rf" 0.689655172413793 0.955555555555556
"236" 133 0.456049728372113 0.5 0.001 15 2 "boosted_rf" 0.628865979381443 0.777777777777778
"237" 116 0.459973295124497 0.5 0.2505 15 2 "boosted_rf" 0.708333333333333 0.955555555555556
